Species	Variable	N	Min	Max	Mean	SD
Enemion biternatum	Covariate: Latitude	110	30.4584597305	45.2505556	38.8613132865964	2.88488952018185
Enemion biternatum	Covariate: SpringMonthlyAverageTemp	110	3.66034489870071	21.0585074424744	11.3183897027012	3.29245266894822
Enemion biternatum	Covariate: Year	110	1883.41095890411	2021.31232876712	1947.73150086084	34.9059497578677
Erythronium americanum	N All Specimens	896	 	 	 	 
Erythronium americanum	N Reproductive Specimens with Image	547	 	 	 	 
Erythronium americanum	N Filtered Specimens	509	 	 	 	 
Erythronium americanum	Response Variable: DOY	509	62	148	108.952848722986	14.5872927907577
Erythronium americanum	Covariate: AnnualMonthlyAverageTemp	509	5.8855680708463	18.4810383686175	11.3903162173552	2.36437120146576
Erythronium americanum	Covariate: Elevation	509	-0.22	1204.72	215.731394891945	163.458949226115
Erythronium americanum	Covariate: FirstQuarterMonthlyAverageTemp	509	-7.24108409881592	11.6423266728719	1.37559421173374	3.3837010915696
Erythronium americanum	Covariate: Latitude	509	32.54404	45.033333	39.4415155888856	2.21482849494886
Erythronium americanum	Covariate: SpringMonthlyAverageTemp	509	4.04649480183919	17.9010802209377	10.6160973932279	2.7645945490666
Erythronium americanum	Covariate: Year	509	1869.3095890411	2020.25409836066	1965.50182891058	31.7108974669394
Mertensia virginica	N All Specimens	711	 	 	 	 
Mertensia virginica	N Reproductive Specimens with Image	459	 	 	 	 
Mertensia virginica	N Filtered Specimens	411	 	 	 	 
Mertensia virginica	Response Variable: DOY	411	73	158	116.892944038929	14.1510397392467
Mertensia virginica	Covariate: AnnualMonthlyAverageTemp	411	6.32158968038857	15.4088273569942	11.3858096777935	1.67000467686133
Mertensia virginica	Covariate: Elevation	411	-0.69	507.4	180.257883211679	111.846034613119
Mertensia virginica	Covariate: FirstQuarterMonthlyAverageTemp	411	-5.71566625187794	8.29799890518188	1.36747635541135	2.62884739633168
Mertensia virginica	Covariate: Latitude	411	35.728142	43.060567	39.6804083945121	1.20479045883688
Mertensia virginica	Covariate: SpringMonthlyAverageTemp	411	5.00597451378902	15.9549368023872	10.6423479378622	2.01115589689808
Mertensia virginica	Covariate: Year	411	1845.2904109589	2021.31232876712	1953.71636053152	37.3956269714156
Podophyllum peltatum	N All Specimens	1863	 	 	 	 
Podophyllum peltatum	N Reproductive Specimens with Image	816	 	 	 	 
Podophyllum peltatum	N Filtered Specimens	717	 	 	 	 
Podophyllum peltatum	Response Variable: DOY	717	69	163	124.221757322176	18.4013199590984
Podophyllum peltatum	Covariate: AnnualMonthlyAverageTemp	717	6.20726487537225	20.1609383132309	12.2449518955691	3.01644239301878
Podophyllum peltatum	Covariate: Elevation	717	-0.62	702.05	187.143263598326	144.55867793636
Podophyllum peltatum	Covariate: FirstQuarterMonthlyAverageTemp	717	-5.39740598201752	15.1318565209707	2.40828919445863	4.13589774808988
Podophyllum peltatum	Covariate: Latitude	717	30.2305167467	43.589753	38.6871187367128	2.82260273035833
Podophyllum peltatum	Covariate: SpringMonthlyAverageTemp	717	4.53677995254596	21.5319723288218	11.6024821633391	3.41374053773322
Podophyllum peltatum	Covariate: Year	717	1861.38356164384	2021.34794520548	1960.11003993046	32.8930871962742
Primula meadia	N All Specimens	266	 	 	 	 
Primula meadia	N Reproductive Specimens with Image	99	 	 	 	 
Primula meadia	N Filtered Specimens	86	 	 	 	 
Primula meadia	Response Variable: DOY	86	84	171	127.976744186047	18.987907448557
Primula meadia	Covariate: AnnualMonthlyAverageTemp	86	7.18849329650402	18.5414375923574	12.1133158717651	2.51197901322541
Primula meadia	Covariate: Elevation	86	85.4	397.65	206.508953488372	60.4586583110664
Primula meadia	Covariate: FirstQuarterMonthlyAverageTemp	86	-5.22098982334137	11.1340915262699	1.84318644081264	3.61381805318777
Primula meadia	Covariate: Latitude	86	32.4664722	42.3671133866	38.7276010518465	2.34404729204062
Primula meadia	Covariate: SpringMonthlyAverageTemp	86	7.02867505947749	18.3382473985354	11.7529447164329	2.74925384487282
Primula meadia	Covariate: Year	86	1900.40547945205	2018.30136986301	1945.62674801588	29.5637871832722
Sanguinaria canadensis	N All Specimens	1564	 	 	 	 
Sanguinaria canadensis	N Reproductive Specimens with Image	502	 	 	 	 
Sanguinaria canadensis	N Filtered Specimens	424	 	 	 	 
Sanguinaria canadensis	Response Variable: DOY	424	55	142	106.693396226415	14.7197734132263
Sanguinaria canadensis	Covariate: AnnualMonthlyAverageTemp	424	3.39269112609327	20.1006818314393	11.0501826928876	2.51614413316787
Sanguinaria canadensis	Covariate: Elevation	424	-0.13	635.8	173.211391509434	120.347058894615
Sanguinaria canadensis	Covariate: FirstQuarterMonthlyAverageTemp	424	-11.5359075466792	13.8903216520945	0.763420306190075	3.58260586646309
Sanguinaria canadensis	Covariate: Latitude	424	30.8128	46.915823	39.8809509889631	2.28630109588415
Sanguinaria canadensis	Covariate: SpringMonthlyAverageTemp	424	1.94965045899153	21.0585074424744	10.1260609606269	2.82765509796227
Sanguinaria canadensis	Covariate: Year	424	1862.30136986301	2020.24043715847	1948.82950069348	36.3049466095797
Thalictrum thalictroides	N All Specimens	1163	 	 	 	 
Thalictrum thalictroides	N Reproductive Specimens with Image	651	 	 	 	 
Thalictrum thalictroides	N Filtered Specimens	590	 	 	 	 
Thalictrum thalictroides	Response Variable: DOY	590	53	166	118.710169491525	18.5255038714036
Thalictrum thalictroides	Covariate: AnnualMonthlyAverageTemp	590	6.00853889808059	19.912565668424	11.2661764450563	2.33966672314832
Thalictrum thalictroides	Covariate: Elevation	590	-0.22	768.38	251.479881355932	138.831835125443
Thalictrum thalictroides	Covariate: FirstQuarterMonthlyAverageTemp	590	-6.6735196908315	12.8242550690969	1.17181774286901	3.34477838876884
Thalictrum thalictroides	Covariate: Latitude	590	30.5797452854	44.30894	39.420621020656	2.11347938322878
Thalictrum thalictroides	Covariate: SpringMonthlyAverageTemp	590	3.3160538127025	20.3855579892794	10.5773299830655	2.69696557453362
Thalictrum thalictroides	Covariate: Year	590	1880.34426229508	2021.33150684932	1955.29004449486	34.4925392375321
