taxon.name	variable	type	covariate	posterior.prob.neg.slope	standard.linear.model	in.95CI	mean	median	sd	mad	q2.5	q97.5	rhat	ess bulk	ess tail
Anemone quinquefolia	slope	observed times (T)	Elevation	0.09575	0.00848052192884979	TRUE	0.0054088018856525	0.00542731	0.00406640686328241	0.004100248908	-0.00241948575	0.013406965	1.00059582611198	2732.32230208777	2864.69895445119
Anemone quinquefolia	slope	observed times (T)	Year	0.98125	-0.0303465381730192	TRUE	-0.029931986034075	-0.03005225	0.0145366841904758	0.01471836324	-0.0582005775	-0.00172677425	1.0000067386303	4153.61954700223	3221.47662305714
Anemone quinquefolia	slope	observed times (T)	AnnualMonthlyAverageTemp	0.00475	2.86849295566353	TRUE	2.811753293695	2.806575	1.12772614796965	1.122891588	0.692838175	5.0323715	1.0012486015011	2194.11487850978	2674.44506509969
Anemone quinquefolia	slope	observed times (T)	FirstQuarterMonthlyAverageTemp	0.99575	-0.954840382199628	TRUE	-1.1857215367925	-1.18816	0.449036105837083	0.4439445549	-2.07774875	-0.298404525	1.00265680113541	2886.35561483067	2558.35266503001
Anemone quinquefolia	slope	first onset (Ok1): N=500	SpringMonthlyAverageTemp	1			-4.599718655	-4.585315	0.589622824116249	0.593306868	-5.79252825	-3.469108	0.999881110185194	3307.38517071792	2679.91982095779
Anemone quinquefolia	slope	first onset (Ok1): N=500	Latitude	0.94225			-1.1868019441855	-1.17799	0.754093990746135	0.7394971584	-2.6844165	0.2965924	1.00024301205726	2661.46326875373	2533.17877223103
Anemone quinquefolia	slope	first onset (Ok1): N=500	Elevation	0.85675			-0.0044046479682275	-0.00437098	0.00424330870111828	0.004173652434	-0.0126684225	0.0039000075	1.00123981292218	1971.12071920184	2538.38450435733
Anemone quinquefolia	slope	first onset (Ok1): N=500	Year	0.13875			0.01608584694635	0.01577145	0.0151042311543822	0.015324020166	-0.01307196	0.045093635	1.00034285337258	3501.35684601943	2758.6089697131
Anemone quinquefolia	slope	first onset (Ok1): N=500	AnnualMonthlyAverageTemp	0.00225			3.013957769925	3.03559	1.16332115290834	1.168488951	0.801012675	5.3658715	1.00224637375009	1715.62641265604	2418.02304265549
Anemone quinquefolia	slope	first onset (Ok1): N=500	FirstQuarterMonthlyAverageTemp	0.99975			-1.762309272	-1.7617	0.464303435654089	0.471637299	-2.67454	-0.849045925	1.00407896449638	2339.21690237337	2580.85431542284
